Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
76,,  3d 20:06:43.18,-4.500038147555,2.499809262226,1.4011799999999999,1.400422029592,1.0930343432510001,5.0360080829900005,0,0,36.811408996581996,27.699859619141,27.699859619141,37.071086883545,27.699859619141,36.503040313721,27.68323135376,36.503040313721,43626.2800743171
77,,  3d 21:00:15.42,-4.500038147555,2.4999618524450002,1.4008200000000002,1.400384470228,1.095140869328,5.03570859863,0,0,36.73025894165,27.749748229979996,27.749748229979996,37.087314605713,27.699859619141,36.535499572754,27.68323135376,36.535499572754,43626.317264363395
78,,  3d 21:53:46.11,-4.500038147555,2.499656672007,1.40059,1.3998594847819998,1.091954057114,5.033618285918,0,0,36.762718200684,27.699859619141,27.699859619141,37.022396087646,27.666601181029996,36.600421905518,27.666601181029996,36.600421905518,43626.3544362731
79,,  3d 22:47:13.97,-4.500114442664,2.499809262226,1.40005,1.3996470231779998,1.092808096051,5.032700829005,0,0,36.778949737549,27.699859619141,27.699859619141,37.05485534668,27.699859619141,36.567962646484,27.649971008301,36.567962646484,43626.391575671296
80,,  3d 23:40:42.54,-4.499885557336,2.499809262226,1.40001,1.399384522868,1.093076601032,5.031647970813,0,0,36.795177459717,27.7331199646,27.7331199646,37.119773864746,27.716489791870004,36.584190368652,27.699859619141,36.584190368652,43626.428723298595
81,,  4d 00:34:08.97,-4.499961852445,2.499656672007,1.3996600000000001,1.3991345097330001,1.091962610949,5.030658452871,0,0,36.778949737549,27.7331199646,27.7331199646,37.119773864746,27.716489791870004,36.535499572754,27.68323135376,36.535499572754,43626.4658460185
82,,  4d 01:27:34.72,-4.499961852445,2.4999618524450002,1.39941,1.3987595105109998,1.091143549617,5.028832712182,0,0,36.811408996581996,27.699859619141,27.699859619141,37.119773864746,27.7331199646,36.567962646484,27.68323135376,36.567962646484,43626.5029610301
83,,  4d 02:21:02.11,-4.499809262226,2.499809262226,1.39898,1.398422022395,1.089333665278,5.027408215684,0,0,36.82763671875,27.699859619141,27.699859619141,37.087314605713,27.699859619141,36.567962646484,27.68323135376,36.567962646484,43626.5400948032
84,,  4d 03:14:26.43,-4.499961852445,2.499809262226,1.39868,1.398159498346,1.0919716877949999,5.0264048971749995,0,0,36.876327514648,27.749748229979996,27.7331199646,37.136005401611,27.7331199646,36.584190368652,27.716489791870004,36.584190368652,43626.5771933333
85,,  4d 04:07:51.59,-4.500114442664,2.4999618524450002,1.3985500000000002,1.397947016537,1.0904801655079999,5.025469669194,0,0,36.86009979248,27.716489791870004,27.716489791870004,37.152236938477,27.7331199646,36.600421905518,27.716489791870004,36.600421905518,43626.6143014468
86,,  4d 05:01:17.42,-4.500114442664,2.499809262226,1.3982700000000001,1.397621979854,1.091101486725,5.024120677838,0,0,36.908786773681996,27.716489791870004,27.716489791870004,37.200923919678004,27.68323135376,36.584190368652,27.68323135376,36.584190368652,43626.6514171644
87,,  4d 05:54:42.22,-4.499809262226,2.4999618524450002,1.3978700000000002,1.39743447301,1.089846190333,5.023380659051,0,0,36.86009979248,27.716489791870004,27.716489791870004,37.119773864746,27.699859619141,36.616649627686,27.666601181029996,36.616649627686,43626.6885213079
88,,  4d 06:48:06.72,-4.499885557336,2.499656672007,1.39771,1.397197017733,1.090331104282,5.022574632641001,0,0,36.925018310546996,27.68323135376,27.68323135376,37.18469619751,27.68323135376,36.600421905518,27.68323135376,36.600421905518,43626.7256216435
89,,  4d 07:41:29.68,-4.500038147555,2.4999618524450002,1.39742,1.3967594795759999,1.089561676245,5.020677833430001,0,0,36.892559051514,27.749748229979996,27.749748229979996,37.200923919678004,27.716489791870004,36.697799682617,27.716489791870004,36.697799682617,43626.7627042593
90,,  4d 08:34:52.17,-4.500114442664,2.4999618524450002,1.39701,1.396496994937,1.090239706242,5.019369652649,0,0,36.925018310546996,27.7331199646,27.7331199646,37.200923919678004,27.716489791870004,36.746490478516,27.649971008301,36.746490478516,43626.7997814583
91,,  4d 09:28:15.17,-4.500114442664,2.499809262226,1.39675,1.396109471472,1.0918508883859999,5.017597422565,0,0,37.022396087646,27.7331199646,27.7331199646,37.298305511475,27.699859619141,36.649108886719,27.699859619141,36.649108886719,43626.8368646181
92,,  4d 10:21:37.84,-4.500038147555,2.499656672007,1.3963900000000002,1.395859523315,1.0900359462209999,5.016513918585,0,0,36.941246032715,27.7331199646,27.7331199646,37.249614715576,27.749748229979996,36.697799682617,27.716489791870004,36.697799682617,43626.8739437963
93,,  4d 11:14:58.14,-4.499961852445,2.499809262226,1.3960299999999999,1.395459512399,1.089362005578,5.015021811325,0,0,37.006168365479,27.783008575439,27.76637840271,37.249614715576,27.76637840271,36.697799682617,27.749748229979996,36.697799682617,43626.9109957407
94,,  4d 12:08:18.98,-4.499961852445,2.4999618524450002,1.39583,1.395146975579,1.089418819534,5.013676810585,0,0,36.973705291748,27.699859619141,27.699859619141,37.217155456543004,27.68323135376,36.584190368652,27.666601181029996,36.584190368652,43626.948053761604
95,,  4d 13:01:39.87,-4.499809262226,2.499809262226,1.3953799999999998,1.394896968423,1.089870169355,5.012565784173,0,0,36.795177459717,27.7331199646,27.7331199646,37.152236938477,27.699859619141,36.697799682617,27.68323135376,36.697799682617,43626.9851125
96,,  4d 13:55:00.17,-4.499885557336,2.499809262226,1.3950900000000002,1.394621979327,1.0900760944249999,5.011435166229,0,0,36.925018310546996,27.699859619141,27.699859619141,37.265842437744006,27.699859619141,36.681568145752,27.699859619141,36.681568145752,43627.0221641898
97,,  4d 14:48:18.39,-4.499885557336,2.499809262226,1.39486,1.394334479939,1.089606467638,5.010032495439,0,0,36.925018310546996,27.699859619141,27.699859619141,37.265842437744006,27.699859619141,36.697799682617,27.666601181029996,36.697799682617,43627.0591920023
98,,  4d 15:41:35.72,-4.500114442664,2.4999618524450002,1.39461,1.3941720017410002,1.089275125491,5.009432680335,0,0,36.973705291748,27.749748229979996,27.749748229979996,37.200923919678004,27.749748229979996,36.600421905518,27.716489791870004,36.600421905518,43627.096209513904
99,,  4d 16:34:57.16,-4.499961852445,2.499656672007,1.39457,1.3938844497999998,1.089004656093,5.008099292833,0,0,37.006168365479,27.7331199646,27.7331199646,37.298305511475,27.7331199646,36.714031219482,27.699859619141,36.714031219482,43627.1332745833
100,,  4d 17:28:16.83,-4.500190737774,2.499809262226,1.39401,1.393471997078,1.088924437751,5.006313383208,0,0,36.989936828613,27.716489791870004,27.716489791870004,37.233383178711,27.699859619141,36.697799682617,27.68323135376,36.697799682617,43627.170319213
101,,  4d 18:21:32.14,-4.499885557336,2.499656672007,1.39367,1.393134476902,1.088997507953,5.005165885069999,0,0,36.95747756958,27.76637840271,27.76637840271,37.233383178711,27.7331199646,36.778949737549,27.7331199646,36.778949737549,43627.2073133912
102,,  4d 19:14:49.26,-4.499961852445,2.499809262226,1.39351,1.393021926413,1.088113272216,5.004542915366,0,0,37.022396087646,27.76637840271,27.76637840271,37.298305511475,27.76637840271,36.73025894165,27.76637840271,36.73025894165,43627.2443283681
